"name","code","price","age","pieces","origin","year","month","length","width","height","weight","category"
"부엉과 숲 박물관",77056,119900,7,543,"중국",2025,8,38.2,26.2,7.05,879,"animal-crossing"
"카라멜의 작은 집",77058,29900,6,149,"중국",2025,8,20.5,19.1,4.6,245,"animal-crossing"
"부옥의 별자리 관측",77053,12900,6,78,NA,2025,NA,NA,NA,NA,NA,"animal-crossing"
"사계절 홈 디자이너 세트",77057,139900,7,814,"중국",2025,8,54,28.2,7.85,1655,"animal-crossing"
"광장에서 K.K. 라이브",77052,114900,7,550,"중국",2024,8,45.6,28.2,6.1,584,"animal-crossing"
"너굴 상점과 부케의 집",77050,109900,7,535,NA,2024,NA,NA,NA,NA,NA,"animal-crossing"
"여울님을 초대합니다",77049,52900,6,389,"중국",2024,3,28.2,26.2,7.6,637,"animal-crossing"
"도도 항공으로 하늘 여행",77051,52900,7,292,"중국",2024,8,35.4,19.1,5.9,375,"animal-crossing"
"갑돌의 보트 투어",77048,44900,6,233,"중국",2024,3,35.4,19.1,5.9,427,"animal-crossing"
"늘봉의 여행하는 원예점",77054,44900,7,263,"중국",2025,1,35.4,19.1,5.9,385,"animal-crossing"
"에이블 시스터즈 옷가게",77055,52900,6,322,"중국",2025,1,26.2,22.2,6.2,318,"animal-crossing"
"릴리안의 즐거운 캠핑",77047,29900,6,164,"중국",2024,3,26.2,19.1,4.6,338,"animal-crossing"
"유니오의 생일 파티",77046,19900,6,170,"중국",2024,3,26.2,14.1,4.8,227,"animal-crossing"
"노이슈반슈타인 성",21063,369900,18,3455,"중국",2025,8,55.5,37.8,13.2,3387,"architecture"
"파리 노트르담",21061,299900,18,4383,NA,2024,NA,NA,NA,NA,NA,"architecture"
"트레비 분수",21062,219900,18,1880,"중국",2025,3,48,37.8,9.4,2084,"architecture"
"런던",21034,64900,12,468,NA,2017,1,26.2,19.1,6.1,526,"architecture"
"자유의 여신상",21042,149900,16,1685,"중국",2018,6,19.1,35.4,11.8,1353,"architecture"
"기자의 피라미드",21058,189900,18,1476,"중국",2022,6,48,37.8,11.2,2471,"architecture"
"파리 - 사랑의 도시",21064,109900,18,958,NA,2026,NA,NA,NA,NA,NA,"architecture"
"히메지 성",21060,209900,18,2125,NA,2023,NA,NA,NA,NA,NA,"architecture"
"뉴욕시티",21028,79000,12,598,NA,2016,1,26.2,19.1,6.1,657,"architecture"
"레고® 하우스",21037,69900,12,774,NA,2017,8,26.2,19.1,9.1,785,"architecture"
"은하수 은하계",31212,259900,18,3091,"중국",2024,5,55.5,37.8,13.2,28875,"art"
"Vincent van Gogh – 해바라기",31215,279900,18,2615,NA,2025,NA,NA,NA,NA,NA,"art"
"거대한 파도",31208,149900,18,1810,"헝가리",2023,1,48,37.8,11.2,2696,"art"
"키스 해링 – 댄싱 피겨",31216,169900,18,1773,"중국",2025,5,54,28.2,11.8,2336,"art"
"LOVE",31214,104900,18,791,"중국",2025,1,26.2,38.2,11.8,1400,"art"
"모나리자",31213,149900,18,1503,NA,2024,NA,NA,NA,NA,NA,"art"
"동물 컬렉션 - 호랑이",31217,89900,18,744,NA,2025,NA,NA,NA,NA,NA,"art"
"벚꽃 풍경",31218,169900,18,1892,NA,2026,NA,NA,NA,NA,NA,"art"
"배트맨: 애니메이션 시리즈 고담 시티™",76271,399900,18,4210,NA,2024,NA,NA,NA,NA,NA,"lego-batman-sets"
"배트맨 대 슈퍼맨™ 배트모빌™",76331,NA,9,220,NA,2026,NA,NA,NA,NA,NA,"lego-batman-sets"
"배트맨™ 배트모빌™",76332,44900,9,330,NA,2026,NA,NA,NA,NA,NA,"lego-batman-sets"
"배트맨과 로빈™ 배트모빌™",76333,44900,9,272,NA,2026,NA,NA,NA,NA,NA,"lego-batman-sets"
"배트맨™ 로고",76330,109900,12,678,NA,2026,NA,NA,NA,NA,NA,"lego-batman-sets"
"아캄 어사일럼™",76300,409900,18,2953,"중국",2025,9,55.5,37.8,15.7,3888,"lego-batman-sets"
"배트맨 포에버™ 배트모빌™",76304,149900,12,909,"중국",2025,8,38.2,26.2,9.4,1150,"lego-batman-sets"
"배트맨™ 텀블러 대 투페이스™와 조커™",76303,89900,8,429,NA,2025,NA,NA,NA,NA,NA,"lego-batman-sets"
"배트맨™ 85주년 기념 한정판 에디션",40726,42000,10,325,"체코",2024,7,19.1,26.2,11.8,674,"lego-batman-sets"
"배트맨™ 배틀 피겨 및 배트 포드 바이크",76273,109900,12,713,NA,2024,6,38.2,26.2,7.05,1002,"lego-batman-sets"
"배트맨™ 대 할리 퀸™과 미스터 프리즈™",76274,89900,8,435,NA,2024,6,38.2,26.2,5.65,714,"lego-batman-sets"
"배트맨™: 클래식 TV 시리즈 배트모빌™",76328,199900,18,1822,NA,2024,NA,NA,NA,NA,NA,"lego-batman-sets"
"슈퍼맨™ 로봇 대 렉스 루터™",76302,21900,6,120,NA,2025,NA,NA,NA,NA,NA,"lego-batman-sets"
"배트맨™ 8 in 1 피겨",40748,34900,10,325,NA,2024,NA,NA,NA,NA,NA,"lego-batman-sets"
"배트맨™과 배트모빌™ 대 미스터 프리즈™",76301,29900,4,63,NA,2025,NA,NA,NA,NA,NA,"lego-batman-sets"
"배트맨™ 맥 로봇",76270,19900,6,140,NA,2024,6,14.1,19.1,4.6,159,"lego-batman-sets"
"배트걸™ 열쇠고리",854320,8000,6,NA,"중국",2025,8,15.5,4.5,0.57,13,"lego-batman-sets"
"할리 퀸™ 열쇠고리",854238,8000,6,NA,"중국",2023,1,15,4.5,0.3,14,"lego-batman-sets"
"배트맨™ 열쇠고리",854235,8000,6,NA,"중국",2023,1,16,4.5,0.92,15,"lego-batman-sets"
"블루이의 패밀리 하우스",11203,99900,4,382,"중국",2025,6,45.6,28.2,7.2,1155,"bluey"
"블루이의 해변과 패밀리카 여행",11202,44900,4,133,"중국",2025,6,26.2,19.1,6.1,392,"bluey"
"블루이와 클로이의 재미있는 놀이터",11201,29900,4,104,NA,2025,NA,NA,NA,NA,NA,"bluey"
"블루이의 패밀리 하우스와 메모리 게임",10459,99900,3,83,NA,2025,NA,NA,NA,NA,NA,"bluey"
"블루이의 아이스크림 여행",10458,44900,2,22,NA,2025,NA,NA,NA,NA,NA,"bluey"
"핑크 장미 꽃다발",10374,79900,18,789,"중국",2025,10,26.2,38.2,7.05,765,"botanicals"
"핑크 꽃다발",10342,79900,18,749,NA,2025,NA,NA,NA,NA,NA,"botanicals"
"매화",10369,44900,18,327,"중국",2024,8,19.1,26.2,6.1,353,"botanicals"
"미니 난초",10343,44900,18,274,NA,2025,NA,NA,NA,NA,NA,"botanicals"
"히비스커스",10372,99900,18,660,"중국",2025,8,26.2,38.2,7.05,720,"botanicals"
"크리스마스 테이블 장식",40743,55000,12,433,"헝가리",2024,9,26.2,22.2,7.6,510,"botanicals"
"해바라기",40524,20900,8,191,NA,2022,1,19.1,14.1,4.6,136,"botanicals"
"포인세티아",10370,69900,18,608,NA,2024,NA,NA,NA,NA,NA,"botanicals"
"미니 분재나무",10373,79900,18,709,"중국",2025,8,28.2,26.2,5.9,603,"botanicals"
"수선화",40646,20900,18,216,NA,2023,NA,NA,NA,NA,NA,"botanicals"
"쁘띠 부케",10347,44900,9,373,NA,2025,NA,NA,NA,NA,NA,"botanicals"
"미니어처 식물들",10329,69900,18,758,"중국",2023,12,38.2,26.2,5.65,707,"botanicals"
"꽃다발",10280,89900,18,756,NA,2021,NA,NA,NA,NA,NA,"botanicals"
"장미",40460,20900,8,120,NA,2021,1,19.1,14.1,4.6,130,"botanicals"
